departamento;total de votos;votos en blanco;partido conservador ;partido liberal ;centro democratico;partido verde;partido de la u
Amazonas;25038;976;1248;9735;5412;0;4752
Antioquia;1981421;163611;313603;300970;424828;0;77021
Arauca;76988;8763;0;28303;10949;0;0
Atlántico;915058;43942;118880;198853;32600;0;39534
Bogotá;2585081;203889;111236;142826;293044;396935;111236
Bolivar;723905;27912;314316;114173;48698;0;59037
Boyacá;453145;27175;43825;61732;60350;106575;29712
Caldas;344929;29753;53251;43737;30291;54501;19191
Caquetá;109608;7254;39653;24606;7876;19337;9437
Casanare;136003;9783;1245;30837;29358;0;0
Cauca;351058;20795;24476;59605;0;0;28091
Cesar;379215;16706;119500;68598;11641;11453;96635
Chocó;131732;3800;0;42735;1650;0;40843
Córdoba;743368;18203;234152;181164;0;7849;243452
Cundinamarca;897926;84428;79733;83615;66455;83749;118956
Guainía;17857;368;0;4033;0;0;4835
Guaviare;29097;1334;12951;11829;0;0;0
Huila;361526;26577;43796;65894;33918;0;0
La Guajira;271885;6635;70032;54739;0;0;57612
Magdalena;483369;14610;0;86063;114058;9240;57625
Meta;323104;34408;30030;0;50994;55964;7520
Nariño;531264;25331;149932;56241;0;0;72028
Norte de Satander ;553755;38671;77416;93787;65584;0;92420
Putumayo;87667;4161;11686;24695;2143;0;0
Quindio;195015;22253;0;38449;20510;10109;12885
Risaralda;338290;29348;41021;82772;28910;0;31213
Archipiélago de San Andrés, Providencia y Santa Catalina;23958;1596;0;8253;385;0;6729
Santander ;803872;40839;127941;121609;101684;97729;34964
Sucre;419391;10896;97124;88452;97124;0;110781
Tolima;455938;29082;138500;50916;56077;74537;43266
Valle;1424923;77619;55391;212626;123504;124590;252511
Vaupés;12508;204;0;1546;2406;0;6627
Vichada;22107;529;0;5213;3356;0;6209
